"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2025byue","2025-01-28T18:59:26.128287Z","-8.838504791259766","113.05419158935547","3.5517920527352795","MLv","105","64","197.40176391601562","Java, Indonesia","BMKG"
"2","bmg2025bwxv","2025-01-27T18:33:54.959363Z","-8.544673919677734","111.3855209350586","2.242927884027742","MLv","75","21","214.86998748779297","Java, Indonesia","BMKG"
"3","bmg2025bwvj","2025-01-27T17:18:58.324421Z","-7.88498306274414","111.29251098632812","2.824881587768164","MLv","270","55","52.89776611328125","Java, Indonesia","BMKG"
"4","bmg2025bvqx","2025-01-27T01:55:41.351147Z","-9.017082214355469","111.22270202636719","2.365875281029668","MLv","5","11","291.07048416137695","South of Java, Indonesia","BMKG"
"5","bmg2025btrt","2025-01-26T00:05:04.918483Z","-8.855276107788086","110.97842407226562","3.1186004789329034","MLv","19","37","209.56185913085938","Java, Indonesia","BMKG"
"6","bmg2025btlz","2025-01-25T21:09:56.520132Z","-8.81674861907959","111.0196762084961","3.3231430253294056","MLv","19","55","214.28990173339844","Java, Indonesia","BMKG"
"7","bmg2025brhg","2025-01-24T16:30:16.983747Z","-9.20583724975586","112.01348876953125","3.1828239758129344","MLv","45","36","233.7118453979492","South of Java, Indonesia","BMKG"
"8","bmg2025bpms","2025-01-23T17:00:26.345775Z","-8.878173828125","113.7285614013672","2.828497280221209","MLv","26","15","236.040714263916","Java, Indonesia","BMKG"
"9","bmg2025bpkn","2025-01-23T15:53:41.260451Z","-8.996821403503418","111.33778381347656","2.979537626412295","MLv","14","31","251.1192169189453","Java, Indonesia","BMKG"
"10","bmg2025blya","2025-01-21T18:10:09.893939Z","-5.776835918426514","112.5097427368164","3.098701077131746","MLv","5","20","229.02001953125","Java Sea","BMKG"
"11","bmg2025bgud","2025-01-18T22:30:56.375056Z","-8.417963981628418","111.19231414794922","2.2168626218908853","MLv","28","12","242.32041549682617","Java, Indonesia","BMKG"
"12","bmg2025bgsz","2025-01-18T21:56:20.381753Z","-8.995574951171875","112.0997085571289","2.930900840369624","MLv","25","24","238.55868911743164","Java, Indonesia","BMKG"
"13","bmg2025bepu","2025-01-17T18:03:39.165187Z","-8.562008857727051","111.0675277709961","2.979072205040467","MLv","37","18","256.54563903808594","Java, Indonesia","BMKG"
"14","bmg2025beop","2025-01-17T17:26:46.319083Z","-8.630002975463867","111.08177185058594","3.161494812855868","MLv","41","32","257.70170974731445","Java, Indonesia","BMKG"
"15","bmg2025bchg","2025-01-16T11:27:46.196033Z","-8.809271812438965","111.35963439941406","2.649465709035113","MLv","53","9","280.8750877380371","Java, Indonesia","BMKG"
"16","bmg2025bbnx","2025-01-16T01:41:51.29581Z","-8.431188583374023","113.7609634399414","3.24252271318787","MLv","11","37","175.236572265625","Java, Indonesia","BMKG"
"17","bmg2025bbdv","2025-01-15T20:36:47.773154Z","-8.621087074279785","112.9352035522461","2.857320163389354","MLv","114","31","200.56570434570312","Java, Indonesia","BMKG"
"18","bmg2025awwo","2025-01-13T12:22:46.556846Z","-8.206324577331543","114.73968505859375","2.1482963424046915","MLv","13","8","120.13590240478516","Bali Region, Indonesia","BMKG"
"19","bmg2025awek","2025-01-13T03:13:27.250458Z","-9.045940399169922","111.24015045166016","3.000602882690242","MLv","14","40","244.04283142089844","South of Java, Indonesia","BMKG"
"20","bmg2025avyj","2025-01-13T00:09:35.090889Z","-8.638674736022949","112.20526123046875","3.334153863627675","MLv","15","29","207.77843475341797","Java, Indonesia","BMKG"
"21","bmg2025atcc","2025-01-11T10:39:04.444307Z","-9.277503967285156","113.5353775024414","3.26905084836538","MLv","10","32","211.23019409179688","South of Java, Indonesia","BMKG"
"22","bmg2025atai","2025-01-11T09:45:31.290956Z","-8.759773254394531","110.98303985595703","2.2924437436896747","MLv","31","13","294.0116786956787","Java, Indonesia","BMKG"
"23","bmg2025asxx","2025-01-11T08:31:41.589991Z","-8.820700645446777","111.16339111328125","2.328911846227631","MLv","19","15","272.8349304199219","Java, Indonesia","BMKG"
"24","bmg2025arns","2025-01-10T14:14:06.27103Z","-7.415524005889893","113.78337860107422","2.8480804154582504","MLv","12","39","94.29205703735352","Java, Indonesia","BMKG"
"25","bmg2025aqzd","2025-01-10T06:52:58.946984Z","-8.835859298706055","112.46561431884766","2.6918934168032655","MLv","43","19","214.01730346679688","Java, Indonesia","BMKG"
"26","bmg2025aomj","2025-01-08T22:09:31.61021Z","-8.943643569946289","113.96460723876953","3.3921958257615707","MLv","10","40","197.0189971923828","Java, Indonesia","BMKG"
"27","bmg2025amoa","2025-01-07T20:42:23.938998Z","-8.886749267578125","111.19145202636719","3.281234136165941","MLv","26","41","216.9191436767578","Java, Indonesia","BMKG"
"28","bmg2025ambg","2025-01-07T14:15:56.819089Z","-8.910218238830566","112.477783203125","3.6088161415427717","MLv","39","75","196.43024444580078","Java, Indonesia","BMKG"
"29","bmg2025aiem","2025-01-05T11:21:19.88223Z","-8.878214836120605","111.33843231201172","2.441675872740126","MLv","19","14","284.78464698791504","Java, Indonesia","BMKG"
"30","bmg2025aeqp","2025-01-03T12:55:40.321855Z","-8.983752250671387","112.87555694580078","3.8215527417385524","MLv","87","68","204.63333892822266","Java, Indonesia","BMKG"
"31","bmg2025aeob","2025-01-03T11:38:26.610611Z","-9.13555908203125","112.5312271118164","3.654951473550733","MLv","19","47","215.53888702392578","South of Java, Indonesia","BMKG"
