Tanggal,Lintang,Bujur,Magnitudo,Kedalaman_km,Lokasi,Sumber,Lokasi_Baru
2022-01-01 07:19:00,-8.15271639163772,114.382883140033,4.98,62.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-01 09:27:00,-8.20184973231255,112.885895966267,2.14,174.0,Lumajang,INATEWS,Lumajang
2022-01-01 09:29:00,-8.15544860525971,113.28648176098,7.99,421.0,Lumajang,INATEWS,Lumajang
2022-01-01 14:02:00,-7.84234983182878,113.168277797944,7.4,176.0,Probolinggo,INATEWS,Probolinggo
2022-01-02 13:54:00,-7.19882202183768,112.929921652772,5.5,27.0,Surabaya,INATEWS,Surabaya
2022-01-03 22:30:00,-7.68683062963732,113.280158528909,4.66,549.0,Probolinggo,INATEWS,Probolinggo
2022-01-05 22:12:00,-8.30755868100784,114.365018906659,6.09,103.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-05 22:25:00,-7.59930410438993,112.98925214586,5.8,482.0,Probolinggo,INATEWS,Probolinggo
2022-01-06 03:32:00,-8.00925436433367,112.693499131075,7.57,488.0,Malang,INATEWS,Malang
2022-01-07 05:01:00,-7.81699253104566,113.246798086895,2.51,512.0,Probolinggo,INATEWS,Probolinggo
2022-01-07 15:39:00,-8.20398789252763,114.327283615676,3.11,685.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-08 07:30:00,-8.21760877484517,113.14956304743,4.91,461.0,Lumajang,INATEWS,Lumajang
2022-01-08 13:31:00,-8.30383985460679,114.331246035942,3.08,392.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-08 16:59:00,-8.12334829617477,114.451455649838,6.36,233.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-09 06:12:00,-8.21237187476595,113.264363310294,4.68,387.0,Lumajang,INATEWS,Lumajang
2022-01-09 11:36:00,-8.12622436707412,113.241955796981,7.32,641.0,Lumajang,INATEWS,Lumajang
2022-01-09 14:30:00,-7.7131317097396,112.820913761155,3.02,248.0,Sidoarjo,INATEWS,Sidoarjo
2022-01-09 15:52:00,-7.01036667272679,112.61214752396,7.92,59.0,Gresik,INATEWS,Gresik
2022-01-09 16:43:00,-8.09192684373659,113.294640450469,4.3,476.0,Lumajang,INATEWS,Lumajang
2022-01-09 18:46:00,-8.26735128859648,114.386821976702,6.57,347.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-09 23:37:00,-8.19897044581846,113.153553692118,3.52,196.0,Lumajang,INATEWS,Lumajang
2022-01-10 04:04:00,-7.70634616581684,112.952158659529,5.59,351.0,Probolinggo,INATEWS,Probolinggo
2022-01-10 05:41:00,-8.13963866055159,114.310481147133,6.26,18.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-11 21:33:00,-7.7702926713286,113.253764471901,2.33,554.0,Probolinggo,INATEWS,Probolinggo
2022-01-12 12:03:00,-8.28896235721151,114.328854050137,7.14,522.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-13 12:11:00,-8.11974496159428,113.247859541832,5.82,607.0,Lumajang,INATEWS,Lumajang
2022-01-13 15:20:00,-8.20644430209516,114.403128544716,7.54,125.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-14 03:57:00,-7.73340864918694,112.826132734651,7.92,103.0,Sidoarjo,INATEWS,Sidoarjo
2022-01-14 15:01:00,-7.80143099788125,113.206854105667,2.96,174.0,Probolinggo,INATEWS,Probolinggo
2022-01-15 17:57:00,-7.57968119695344,112.897496265699,3.93,629.0,Sidoarjo,INATEWS,Sidoarjo
2022-01-16 10:32:00,-7.7932636434112,113.128530178617,5.08,179.0,Probolinggo,INATEWS,Probolinggo
2022-01-16 10:53:00,-7.70096335320676,112.831388308501,6.56,672.0,Sidoarjo,INATEWS,Sidoarjo
2022-01-16 13:17:00,-7.54708250232353,112.988438405254,6.14,303.0,Sidoarjo,INATEWS,Sidoarjo
2022-01-17 02:34:00,-8.02359737208676,112.662722699917,7.59,491.0,Malang,INATEWS,Malang
2022-01-17 04:03:00,-7.68311596629558,112.957374184082,6.29,577.0,Probolinggo,INATEWS,Probolinggo
2022-01-17 08:18:00,-8.13291312311967,114.32371184208,6.85,160.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-17 18:43:00,-7.80110865289656,113.164249172228,6.42,394.0,Probolinggo,INATEWS,Probolinggo
2022-01-17 19:05:00,-7.74891187787154,113.577829941283,7.8,555.0,Bondowoso,INATEWS,Bondowoso
2022-01-18 07:31:00,-8.17777045512617,114.371112020437,6.06,369.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-18 08:20:00,-8.15960013805227,113.303353682572,2.22,415.0,Lumajang,INATEWS,Lumajang
2022-01-18 14:38:00,-7.98265062853448,112.711858226778,4.42,368.0,Malang,INATEWS,Malang
2022-01-19 13:40:00,-8.1523113980531,113.145445639266,4.49,8.0,Lumajang,INATEWS,Lumajang
2022-01-19 15:05:00,-8.26950681827163,114.38130219927,7.16,415.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-19 16:09:00,-8.1728909584967,114.278022025734,6.97,263.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-20 05:55:00,-7.7521552322209,113.19574466878,7.14,635.0,Probolinggo,INATEWS,Probolinggo
2022-01-20 10:39:00,-7.95170837905292,112.693011987337,3.14,371.0,Malang,INATEWS,Malang
2022-01-20 22:07:00,-8.16457888200431,111.89124458411,5.47,695.0,Tulungagung,INATEWS,Tulungagung
2022-01-20 23:28:00,-8.19562313215788,114.388666145348,5.56,258.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-21 06:35:00,-7.73323225452793,113.246322790409,7.54,234.0,Probolinggo,INATEWS,Probolinggo
2022-01-21 12:39:00,-7.731588686935,113.201097495371,3.09,157.0,Probolinggo,INATEWS,Probolinggo
2022-01-21 21:39:00,-8.22031617834406,114.466732982373,2.95,649.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-23 00:09:00,-8.28175692690936,114.469037572426,2.87,356.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-24 04:19:00,-8.17731673536337,114.296742643856,3.34,105.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-25 06:23:00,-7.868107490892,112.577538000006,4.42,515.0,Malang,INATEWS,Malang
2022-01-25 08:11:00,-7.58221269360043,112.814524199208,2.41,64.0,Sidoarjo,INATEWS,Sidoarjo
2022-01-25 08:40:00,-7.63740227223858,113.314035586113,2.67,502.0,Probolinggo,INATEWS,Probolinggo
2022-01-27 04:40:00,-8.30439789048969,114.449915635736,2.02,121.0,Banyuwangi,INATEWS,Banyuwangi
2022-01-27 19:51:00,-8.15442261573888,113.137654516681,7.59,514.0,Lumajang,INATEWS,Lumajang
2022-01-28 05:10:00,-7.84410354356831,113.175921186547,7.97,194.0,Probolinggo,INATEWS,Probolinggo
2022-01-28 07:08:00,-7.56991573237603,112.938683230822,2.81,101.0,Sidoarjo,INATEWS,Sidoarjo
2022-01-28 21:48:00,-7.9285001177916,112.654128433326,5.69,47.0,Malang,INATEWS,Malang
2022-02-01 03:01:00,-8.19754042975993,114.381285753171,2.75,175.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-02 04:55:00,-8.23905154586907,114.307711170617,4.66,438.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-02 08:09:00,-8.22942241743471,113.254955897704,4.98,4.0,Lumajang,INATEWS,Lumajang
2022-02-02 18:36:00,-8.13739873477284,113.181876172633,6.5,535.0,Lumajang,INATEWS,Lumajang
2022-02-03 14:13:00,-7.75057323612375,113.26387183864,2.69,272.0,Probolinggo,INATEWS,Probolinggo
2022-02-03 19:59:00,-8.10730382878481,113.190346891566,7.04,605.0,Lumajang,INATEWS,Lumajang
2022-02-04 16:55:00,-7.73973419595775,112.980277846884,5.25,173.0,Probolinggo,INATEWS,Probolinggo
2022-02-05 10:54:00,-7.67399833975204,112.976242268489,7.02,500.0,Probolinggo,INATEWS,Probolinggo
2022-02-05 13:47:00,-8.23034075564232,113.230769577776,5.68,86.0,Lumajang,INATEWS,Lumajang
2022-02-05 15:12:00,-8.23270061327013,114.282157236108,7.84,181.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-05 20:47:00,-8.15064688429448,114.331819012491,6.69,359.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-06 06:04:00,-8.11064890326468,113.230165320065,7.57,527.0,Lumajang,INATEWS,Lumajang
2022-02-07 11:02:00,-8.12504204654977,114.451351754325,7.35,448.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-07 14:43:00,-8.27103024296422,114.389258231817,6.74,669.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-07 18:34:00,-8.16760723442728,113.127414439521,6.75,196.0,Lumajang,INATEWS,Lumajang
2022-02-07 21:54:00,-7.77651050326017,113.192598684095,3.15,479.0,Probolinggo,INATEWS,Probolinggo
2022-02-08 08:21:00,-7.89428874053942,112.705946759895,7.2,609.0,Malang,INATEWS,Malang
2022-02-09 09:31:00,-8.29208644950122,114.278446978825,2.05,271.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-10 05:16:00,-8.20352013369729,114.452107863937,4.85,242.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-11 08:35:00,-8.03408260535956,112.542038261998,2.69,591.0,Malang,INATEWS,Malang
2022-02-11 08:44:00,-7.92475365450343,112.61816114508,7.36,158.0,Malang,INATEWS,Malang
2022-02-11 21:33:00,-7.60543451163741,112.908138483958,3.86,504.0,Sidoarjo,INATEWS,Sidoarjo
2022-02-11 22:10:00,-8.26316033899466,114.382851105853,7.42,142.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-11 23:24:00,-8.10115265387647,113.211811196954,4.72,357.0,Lumajang,INATEWS,Lumajang
2022-02-13 11:28:00,-6.87371136643448,112.88336902477,4.83,549.0,Gresik,INATEWS,Gresik
2022-02-13 16:07:00,-8.16170708010888,114.414362239168,2.19,318.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-13 19:26:00,-8.17950914963197,113.132305990933,2.23,658.0,Lumajang,INATEWS,Lumajang
2022-02-14 02:59:00,-8.0789965988141,113.28145732121,3.13,135.0,Lumajang,INATEWS,Lumajang
2022-02-14 05:22:00,-8.29788184943061,114.32358196158,4.8,148.0,Banyuwangi,INATEWS,Banyuwangi
2022-02-15 16:43:00,-8.00474299426531,112.611739760813,6.59,80.0,Malang,INATEWS,Malang
2022-02-15 20:35:00,-8.18447569793037,112.080121225062,3.52,699.0,Blitar,INATEWS,Blitar
