Tanggal,Lokasi,Magnitudo,Kedalaman (km),Area Terdampak (km),Cluster,Bentuk,R_true,R_pred,R_forecast,Luas_pred,Proporsi_Grid_Terdampak_CNN,Prob_Terdampak_NB,Lintang,Bujur,isVulkanik,isTektonik,isTremor,isHembusan,isLF,MagScaled,DepthFactor,isTerdampak_Actual
2022-01-01 07:19:00,"Gunung Raung, Banyuwangi",4.98,62,179,3,Elips,7.55,0.13,0.13,0.05,0.0471,0.0,-8.15271639163772,114.382883140033,1,0,0,0,0,-0.0214,1.0031,1
2022-01-01 09:27:00,Laut Jawa Timur,2.14,174,99,0,Lingkaran,5.61,0.38,0.39,0.46,0.0471,0.0,-8.20184973231255,112.885895966267,0,1,0,0,0,-1.6465,0.9979,1
2022-01-01 09:29:00,"Gunung Semeru, Lumajang",7.99,421,107,3,Elips,5.84,0.92,0.93,2.81,0.0471,0.0,-8.15544860525971,113.28648176098,1,0,0,0,0,1.6716,0.9962,1
2022-01-01 14:02:00,"Probolinggo, Jawa Timur",7.4,176,51,4,Lingkaran,4.03,0.66,0.67,1.39,0.0471,0.0,-7.84234983182878,113.168277797944,0,1,0,0,0,1.2854,0.9978,1
2022-01-02 13:54:00,Laut Jawa Timur,5.5,27,283,0,Lingkaran,9.49,0.45,0.45,0.63,0.0471,0.0,-7.19882202183768,112.929921652772,0,1,0,0,0,0.2721,1.0135,1
2022-01-03 22:30:00,"Probolinggo, Jawa Timur",4.66,549,205,3,Lingkaran,8.08,0.24,0.24,0.18,0.0471,0.0,-7.68683062963732,113.280158528909,0,1,0,0,0,-0.2014,0.9959,1
2022-01-05 22:12:00,"Gunung Raung, Banyuwangi",6.09,103,278,3,Elips,9.41,0.42,0.42,0.58,0.0471,0.0,-8.30755868100784,114.365018906659,1,0,0,0,0,0.6029,0.9999,1
2022-01-05 22:25:00,"Pasuruan, Jawa Timur",5.8,482,275,1,Lingkaran,9.36,0.82,0.82,2.1,0.0471,0.0,-7.59930410438993,112.98925214586,0,1,0,0,0,0.3918,0.996,1
2022-01-06 03:32:00,"Malang, Jawa Timur",7.57,488,257,3,Lingkaran,9.04,1.01,1.01,3.19,0.0471,0.0,-8.00925436433367,112.693499131075,0,1,0,0,0,1.4353,0.996,1
2022-01-07 05:01:00,"Probolinggo, Jawa Timur",2.51,512,195,3,Lingkaran,7.88,0.0,0.0,0.0,0.0471,0.0,-7.81699253104566,113.246798086895,0,1,0,0,0,-1.4106,0.996,1
2022-01-07 15:39:00,"Banyuwangi, Jawa Timur",3.11,685,151,4,Lingkaran,6.93,0.66,0.66,1.37,0.0471,0.0,-8.20398789252763,114.327283615676,0,1,0,0,0,-1.0975,0.9957,1
2022-01-08 07:30:00,"Gunung Semeru, Lumajang",4.91,461,286,2,Elips,9.54,0.6,0.6,1.18,0.0471,0.0,-8.21760877484517,113.14956304743,1,0,0,0,0,-0.1577,0.9961,1
2022-01-08 13:31:00,"Gunung Raung, Banyuwangi",3.08,392,81,3,Elips,5.08,0.0,0.0,0.0,0.0471,0.0,-8.30383985460679,114.331246035942,1,0,0,0,0,-1.09,0.9963,1
2022-01-08 16:59:00,"Banyuwangi, Jawa Timur",6.36,233,149,4,Lingkaran,6.89,0.66,0.66,1.38,0.0471,0.0,-8.12334829617477,114.451455649838,0,1,0,0,0,0.7077,0.9971,1
2022-01-09 06:12:00,"Laut Selatan Jawa, barat daya Lumajang",4.68,387,242,4,Lingkaran,8.78,0.66,0.66,1.38,0.0471,0.0,-8.21237187476595,113.264363310294,0,1,0,0,0,-0.2255,0.9963,1
